WordType,Condition,AverageSimilarity,WordNumber,AverageNonSimilarWordLength
喜欢,,0.65405943580978,16.666666666666668,5.765676069837
喜欢,baseline,0.5545871210833687,4.75,2.1157111748539985
喜欢,without_synonyms,0.6768066445320283,17.25,5.575085381822511
喜欢,with_synonyms_but_no_rules,0.6403654536533656,5.083333333333333,1.8281422772620581
困难的,,0.6174799084791173,21.642857142857142,8.278827695059105
困难的,baseline,0.61994322932495,5.892857142857143,2.2396202557636875
困难的,without_synonyms,0.6577752989594581,15.071428571428571,5.157815137111025
困难的,with_synonyms_but_no_rules,0.6416011494950545,6.535714285714286,2.3423924872287505
大,,0.5468456700055419,11.928571428571429,5.405483793505322
大,baseline,0.6910980447578415,7.5,2.3167646643161883
大,without_synonyms,0.6418672492584251,12.964285714285714,4.642935304256846
大,with_synonyms_but_no_rules,0.7306978833066184,6.142857142857143,1.6542844311164868
奇怪的,,0.5255662049131666,15.035714285714286,7.1334509904127446
奇怪的,baseline,0.5938009589013058,5.321428571428571,2.1615591829894796
奇怪的,without_synonyms,0.546199609496808,11.642857142857142,5.28353311800145
奇怪的,with_synonyms_but_no_rules,0.6576679317566997,4.785714285714286,1.63830346945008
学到,,0.6517058113843867,19.125,6.661126357273605
学到,baseline,0.6654581599902254,5.625,1.8817978500549821
学到,without_synonyms,0.7693426492065235,15.875,3.6616854438464395
学到,with_synonyms_but_no_rules,0.7623624998624875,4.125,0.980254688067239
建议,,0.6419174716951874,19.583333333333332,7.0124495126359125
建议,baseline,0.7062632672142362,7.791666666666667,2.28869870962241
建议,without_synonyms,0.6476802460003425,14.666666666666666,5.167356391994977
建议,with_synonyms_but_no_rules,0.7195466572115786,6.75,1.8930600638218442
开心,,0.6599523114420902,20.77777777777778,7.065435306703237
开心,baseline,0.6208864769136975,8.166666666666666,3.0960937718714705
开心,without_synonyms,0.6956856494222018,17.13888888888889,5.215609841847264
开心,with_synonyms_but_no_rules,0.675855839292744,7.388888888888889,2.3950651874480586
感谢,,0.6071588505393462,13.5,5.303355517718827
感谢,baseline,0.7549596150156507,6.25,1.5315024061521834
感谢,without_synonyms,0.7297491753024933,9.583333333333334,2.5899037366844397
感谢,with_synonyms_but_no_rules,0.7807892474594352,6.0,1.3152645152433886
永久的_永恒的,,0.6547342563587316,18.607142857142858,6.424409015610744
永久的_永恒的,baseline,0.7019837346052933,7.25,2.160617924111624
永久的_永恒的,without_synonyms,0.6231075505216369,17.0,6.407171641132172
永久的_永恒的,with_synonyms_but_no_rules,0.7109218001324665,7.464285714285714,2.1577622775826604
生气_恼人,,0.714022013051561,18.071428571428573,5.168030764139648
生气_恼人,baseline,0.6354064109127009,10.392857142857142,3.7891690865858583
生气_恼人,without_synonyms,0.7208281895648666,16.214285714285715,4.526571497769663
生气_恼人,with_synonyms_but_no_rules,0.6694897870628419,10.642857142857142,3.5175729805454683
看法_观点,,0.6890568658796193,22.75,7.07395630123866
看法_观点,baseline,0.8280009974282464,8.833333333333334,1.519324522717157
看法_观点,without_synonyms,0.6909270030603619,23.25,7.185947178846585
看法_观点,with_synonyms_but_no_rules,0.8070784350664245,8.625,1.6639484975520886
美丽的,,0.464681932192626,11.75,6.289987296736645
美丽的,baseline,0.6484494817552177,9.678571428571429,3.402506801583429
美丽的,without_synonyms,0.5162872571324213,11.642857142857142,5.631798363386809
美丽的,with_synonyms_but_no_rules,0.645586079562294,9.321428571428571,3.3036440440800456
角度,,0.6259273606637897,15.178571428571429,5.677888275638906
角度,baseline,0.6403213338924613,7.964285714285714,2.864583662213612
角度,without_synonyms,0.6322570778612688,14.607142857142858,5.371673398383609
角度,with_synonyms_but_no_rules,0.6786781371897754,6.785714285714286,2.1803983547836667
退出,,0.6743392546585576,23.285714285714285,7.583243070093587
退出,baseline,0.7497231959957691,5.714285714285714,1.4301531657384623
退出,without_synonyms,0.5978710364968993,16.714285714285715,6.721298389980397
退出,with_synonyms_but_no_rules,0.6985195730375088,6.142857142857143,1.8519511941981606
重要,,0.6168475108914532,17.333333333333332,6.6413098112148115
重要,baseline,0.7427310046078683,5.208333333333333,1.339942684334019
重要,without_synonyms,0.6952710169048973,18.125,5.5232128185987355
重要,with_synonyms_but_no_rules,0.6866257964564614,5.916666666666667,1.8541307042992703
